Status,Dossier_ID,DocumentID,DocType,DocCategory,LimitationType,Issue,rdafType,startDate,UniversalKey,LimitationLife
CLSD,81648594,81648594/123,TD,,,,,2026-04-21,81648594,
CLSD,81726484,81726484/086,RD,,,,,2026-03-24,81726484,
CLSD,81464495,81464495/033,RD-TD,,,,,2024-10-28,81464495,
CLSD,81307270,81307270/033,RD,,,,,2023-11-13,81307270,
CLSD,80414884,80414884/012,TD,,,,,2018-01-31,80414884,
CLSD,80487007,80487007/024,TD,,,,,2026-05-06,80487007,
CLSD,81685862,81685862/052,TD,,,,,2025-11-19,81685862,
CLSD,81777923,81777923/007,RD,,,,,2026-04-15,81777923,
CLSD,81685581,81685581/010,RD-TD,,,,,2025-11-09,81685581,
CLSD,80551751,80551751/021,TD,,,,,2026-04-23,80551751,
CLSD,81399697,81399697/005,TD,,,,,2024-05-24,81399697,
CLSD,81770551,81770551/007,RD,,,,,2026-04-02,81770551,
CLSD,80986870,80986870/031,TD,,,,,2021-11-17,80986870,
CLSD,80909013,80909013/142,TD,,,,,2021-08-12,80909013,
CLSD,81386134,81386134/267,RD,,,,,2025-08-07,81386134,
CLSD,81657752,81657752/045,RD,,,,,2025-11-06,81657752,
CLSD,81458703,81458703/008,RD,,,,,2024-09-06,81458703,
CLSD,81635482,81635482/045,TD,,,,,2025-08-27,81635482,
CLSD,81358069,81358069/053,TD,,,,,2024-05-09,81358069,
CLSD,81570630,81570630/025,TD,,,,,2025-06-06,81570630,
CLSD,81699989,81699989/016,RD,,,,,2025-12-19,81699989,
CLSD,81118013,81118013/094,TD,,,,,2025-10-13,81118013,
CLSD,81750114,81750114/049,RD,,,,,2026-03-08,81750114,
CLSD,80954281,80954281/006,TD,,,,,2021-08-23,80954281,
CLSD,81720472,81720472/052,TD,,,,,2026-02-02,81720472,
CLSD,80716852,80716852/023,TD,,,,,2019-12-17,80716852,
CLSD,81780298,81780298/008,RD,,,,,2026-04-20,81780298,
CLSD,81694098,81694098/022,TD,,,,,2025-11-23,81694098,
CLSD,81642313,81642313/256,TD,,,,,2026-01-22,81642313,
CLSD,81787701,81787701/010,RD,,,,,2026-04-29,81787701,
CLSD,81641272,81641272/091,TD,,,,,2026-04-28,81641272,
CLSD,81358078,81358078/038,RD,,,,,2024-04-15,81358078,
CLSD,81731271,81731271/010,RD,,,,,2026-02-03,81731271,
CLSD,81248438,81248438/162,TD,,,,,2023-09-25,81248438,
CLSD,81767050,81767050/010,RD,,,,,2026-04-01,81767050,
CLSD,81757688,81757688/121,TD,,,,,2026-04-14,81757688,
CLSD,81498650,81498650/016,TD,,,,,2024-12-02,81498650,
