DossierID,RDAF,Instructions
80740835,RDAF Delivered,Instruction Delivered
81395705,RDAF Delivered,Instruction Not Delivered
81397638,RDAF Delivered,Instruction Delivered
81392832,RDAF Delivered,Instruction Not Delivered
81402681,RDAF Delivered,Instruction Delivered
81376536,RDAF Delivered,Instruction Not Delivered
81205659,RDAF Delivered,Instruction Not Delivered
81395271,RDAF Delivered,Instruction Not Delivered
81191701,RDAF Delivered,Instruction Not Delivered
80956475,RDAF Delivered,Instruction Not Delivered
81374415,RDAF Delivered,Instruction Not Delivered
81336829,RDAF Delivered,Instruction Delivered
80577095,RDAF Delivered,Instruction Not Delivered
81404351,RDAF Delivered,Instruction Delivered
81399139,RDAF Delivered,Instruction Delivered
81387375,RDAF Delivered,Instruction Delivered
80192277,RDAF Delivered,Instruction Delivered
81316854,RDAF Delivered,Instruction Delivered
81312004,RDAF Delivered,Instruction Not Delivered
81375952,RDAF Delivered,Instruction Not Delivered
81152298,RDAF Delivered,Instruction Delivered
81400608,RDAF Delivered,Instruction Not Delivered
81408581,RDAF Delivered,Instruction Not Delivered
81405306,RDAF Delivered,Instruction Not Delivered
81234227,RDAF Delivered,Instruction Delivered
81361167,RDAF Delivered,Instruction Delivered
81388438,RDAF Delivered,Instruction Not Delivered
81297047,RDAF Delivered,Instruction Not Delivered
81409485,RDAF Delivered,Instruction Delivered
81357683,RDAF Delivered,Instruction Not Delivered
81360059,RDAF Delivered,Instruction Not Delivered
81392955,RDAF Delivered,Instruction Not Delivered
81330969,RDAF Delivered,Instruction Delivered
81396853,RDAF Delivered,Instruction Delivered
81055752,RDAF Delivered,Instruction Delivered
81387688,RDAF Delivered,Instruction Delivered
81404047,RDAF Delivered,Instruction Delivered
81276343,RDAF Delivered,Instruction Not Delivered
81396849,RDAF Delivered,Instruction Not Delivered
81337237,RDAF Delivered,Instruction Not Delivered
81416626,RDAF Delivered,Instruction Not Delivered
81392254,RDAF Delivered,Instruction Not Delivered
81353239,RDAF Delivered,Instruction Not Delivered
81389010,RDAF Delivered,Instruction Delivered
81410658,RDAF Delivered,Instruction Not Delivered
81358259,RDAF Delivered,Instruction Delivered
81377012,RDAF Delivered,Instruction Delivered
81394945,RDAF Delivered,Instruction Not Delivered
80985237,RDAF Delivered,Instruction Delivered
81298173,RDAF Delivered,Instruction Delivered
81226251,RDAF Delivered,Instruction Delivered
81288829,RDAF Delivered,Instruction Delivered
81354440,RDAF Delivered,Instruction Not Delivered
