ICAO,OPENCount,ClosedCount,AmbersAlloted,AmberCount,RedCount,RedCapMet,AmberCapMet
ABN,0,0,0,0,0,false,false
N8A,0,0,0,0,0,false,false
09K,0,0,0,0,0,false,false
TWB,0,0,0,0,0,false,false
69H,0,0,0,0,0,false,false
HYS,0,0,0,0,0,false,false
MLH,0,0,0,0,0,false,false
52K,0,0,0,0,0,false,false
23R,0,0,0,0,0,false,false
68M,0,0,0,0,0,false,false
79X,0,0,0,0,0,false,false
DCF,0,0,0,0,0,false,false
LMJ,0,0,0,0,0,false,false
SDJ,0,0,0,0,0,false,false
D10,0,0,0,0,0,false,false
TNU,0,0,0,0,0,false,false
D7N,0,0,0,0,0,false,false
BGH,0,0,0,0,0,false,false
GRL,0,0,0,0,0,false,false
18P,0,0,0,0,0,false,false
GJM,0,0,0,0,0,false,false
FPY,0,0,0,0,0,false,false
SVI,0,0,0,0,0,false,false
ADY,0,0,0,0,0,false,false
BIX,0,0,0,0,0,false,false
90U,0,0,0,0,0,false,false
55S,0,0,0,0,0,false,false
B1L,0,0,0,0,0,false,false
MYM,0,0,0,0,0,false,false
.,0,0,0,0,0,false,false
AWG,0,0,0,0,0,false,false
FHM,0,0,0,0,0,false,false
91X,0,0,0,0,0,false,false
NN,0,0,0,0,0,false,false
GZQ,0,0,0,0,0,false,false
OCN,0,0,0,0,0,false,false
GS-KR,0,0,0,0,0,false,false
TVF,0,0,0,0,0,false,false
SJV,0,0,0,0,0,false,false
AF,0,0,0,0,0,false,false
KIAD,0,0,0,0,0,false,false
48O,0,0,0,0,0,false,false
TRA,0,0,0,0,0,false,false
W7B,0,0,0,0,0,false,false
7G,0,0,0,0,0,false,false
QAN,0,0,0,0,0,false,false
MMF,0,0,0,0,0,false,false
EFW,0,0,0,0,0,false,false
CBG,0,0,0,0,0,false,false
AC7,0,0,0,0,0,false,false
TAH,0,0,0,0,0,false,false
UBBB,0,0,0,0,0,false,false
A1L,0,0,0,0,0,false,false
54L,0,0,0,0,0,false,false
RMY,0,0,0,0,0,false,false
51X,0,0,0,0,0,false,false
74G,0,0,0,0,0,false,false
CMA,0,0,0,0,0,false,false
ULS,0,0,0,0,0,false,false
FGW,0,0,0,0,0,false,false
DAH,0,0,0,0,0,false,false
BUC,0,0,0,0,0,false,false
78X,0,0,0,0,0,false,false
GXA,0,0,0,0,0,false,false
26L,0,0,0,0,0,false,false
GBB,0,0,0,0,0,false,false
L7P,0,0,0,0,0,false,false
RYL,0,0,0,0,0,false,false
MZT,0,0,0,0,0,false,false
MLD,0,0,0,0,0,false,false
BBT,0,0,0,0,0,false,false
KSDF,0,0,0,0,0,false,false
N6M,0,0,0,0,0,false,false
76G,0,0,0,0,0,false,false
LHA,0,0,0,0,0,false,false
82Z,0,0,0,0,0,false,false
PRX,0,0,0,0,0,false,false
QNT,0,0,0,0,0,false,false
TZW,0,0,0,0,0,false,false
KE,0,0,0,0,0,false,false
HST,0,0,0,0,0,false,false
KU,0,0,0,0,0,false,false
AXB,0,0,0,0,0,false,false
AXY,0,0,0,0,0,false,false
T7W,0,0,0,0,0,false,false
XLR,0,0,0,0,0,false,false
E8M,0,0,0,0,0,false,false
PVG,0,0,0,0,0,false,false
MMO,0,0,0,0,0,false,false
A0E,0,0,0,0,0,false,false
50W,0,0,0,0,0,false,false
A2E,0,0,0,0,0,false,false
T0P,0,0,0,0,0,false,false
RWD,0,0,0,0,0,false,false
AFA,0,0,0,0,0,false,false
AIH,0,0,0,0,0,false,false
C9G,0,0,0,0,0,false,false
66X,0,0,0,0,0,false,false
DLA,0,0,0,0,0,false,false
WPT,0,0,0,0,0,false,false
GTR,0,0,0,0,0,false,false
52L,0,0,0,0,0,false,false
QSM,0,0,0,0,0,false,false
TK,0,0,0,0,0,false,false
D8518,0,0,0,0,0,false,false
A330,0,0,0,0,0,false,false
30J,0,0,0,0,0,false,false
SHY,0,0,0,0,0,false,false
FIA,0,0,0,0,0,false,false
JOC,0,0,0,0,0,false,false
98W,0,0,0,0,0,false,false
46L,0,0,0,0,0,false,false
RJD,0,0,0,0,0,false,false
VAW,0,0,0,0,0,false,false
NGN,0,0,0,0,0,false,false
41I,0,0,0,0,0,false,false
SPD,0,0,0,0,0,false,false
UNA,0,0,0,0,0,false,false
SSG,0,0,0,0,0,false,false
GLY,0,0,0,0,0,false,false
ZJHK,0,0,0,0,0,false,false
A5B,0,0,0,0,0,false,false
DCS,0,0,0,0,0,false,false
*,0,0,0,0,0,false,false
H8O,0,0,0,0,0,false,false
CZX,0,0,0,0,0,false,false
BOC,0,0,0,0,0,false,false
S2B,0,0,0,0,0,false,false
32J,0,0,0,0,0,false,false
BTN,0,0,0,0,0,false,false
79L,0,0,0,0,0,false,false
78V,0,0,0,0,0,false,false
L7M,0,0,0,0,0,false,false
OYA,0,0,0,0,0,false,false
DEMO,0,0,0,0,0,false,false
SWR/WK,0,0,0,0,0,false,false
87Q,0,0,0,0,0,false,false
U.A.E,0,0,0,0,0,false,false
CEF,0,0,0,0,0,false,false
AIA,0,0,0,0,0,false,false
27V,0,0,0,0,0,false,false
ABD,0,0,0,0,0,false,false
?,0,0,0,0,0,false,false
RBG,0,0,0,0,0,false,false
SQ,0,0,0,0,0,false,false
F99,0,0,0,0,0,false,false
AIZ,0,0,0,0,0,false,false
EZA,0,0,0,0,0,false,false
S7Y,0,0,0,0,0,false,false
A6F,0,0,0,0,0,false,false
G8T,0,0,0,0,0,false,false
KRP,0,0,0,0,0,false,false
DIR,0,0,0,0,0,false,false
EWL,0,0,0,0,0,false,false
TUA,0,0,0,0,0,false,false
G2X,0,0,0,0,0,false,false
B,0,0,0,0,0,false,false
HO8,0,0,0,0,0,false,false
12K,0,0,0,0,0,false,false
SNA,0,0,0,0,0,false,false
95K,0,0,0,0,0,false,false
86W,0,0,0,0,0,false,false
CSN/CQN,0,0,0,0,0,false,false
ICE,0,0,0,0,0,false,false
48T,0,0,0,0,0,false,false
EAE,0,0,0,0,0,false,false
EGA,0,0,0,0,0,false,false
39V,0,0,0,0,0,false,false
SOP,0,0,0,0,0,false,false
BBJ,0,0,0,0,0,false,false
73H,0,0,0,0,0,false,false
M7T,0,0,0,0,0,false,false
T7G,0,0,0,0,0,false,false
MIR,0,0,0,0,0,false,false
34H,0,0,0,0,0,false,false
G7Q,0,0,0,0,0,false,false
MNG,0,0,0,0,0,false,false
SJO,0,0,0,0,0,false,false
49O,0,0,0,0,0,false,false
KL,0,0,0,0,0,false,false
SIAEC,0,0,0,0,0,false,false
JQS,0,0,0,0,0,false,false
CAO,0,0,0,0,0,false,false
FWL,0,0,0,0,0,false,false
PVV,0,0,0,0,0,false,false
RAF,0,0,0,0,0,false,false
77A,0,0,0,0,0,false,false
PVS,0,0,0,0,0,false,false
ZP1,0,0,0,0,0,false,false
G8N,0,0,0,0,0,false,false
B8O,0,0,0,0,0,false,false
PR,0,0,0,0,0,false,false
FRA,0,0,0,0,0,false,false
ACS,0,0,0,0,0,false,false
LVU,0,0,0,0,0,false,false
ETI,0,0,0,0,0,false,false
PAS,0,0,0,0,0,false,false
75V,0,0,0,0,0,false,false
HOT,0,0,0,0,0,false,false
L7R,0,0,0,0,0,false,false
F8T,0,0,0,0,0,false,false
27,0,0,0,0,0,false,false
G7M,0,0,0,0,0,false,false
MXD,0,0,0,0,0,false,false
56W,0,0,0,0,0,false,false
ASL,0,0,0,0,0,false,false
GJT,0,0,0,0,0,false,false
KHV,0,0,0,0,0,false,false
XXX,0,0,0,0,0,false,false
HKC,0,0,0,0,0,false,false
86K,0,0,0,0,0,false,false
QDA,0,0,0,0,0,false,false
CSA,0,0,0,0,0,false,false
BTK,0,0,0,0,0,false,false
LTM,0,0,0,0,0,false,false
S3R,0,0,0,0,0,false,false
31X,0,0,0,0,0,false,false
PLM,0,0,0,0,0,false,false
ALL,0,0,0,0,0,false,false
MMA,0,0,0,0,0,false,false
ARG,0,0,0,0,0,false,false
G8E,0,0,0,0,0,false,false
MEA,0,0,0,0,0,false,false
NWK,0,0,0,0,0,false,false
MLT,0,0,0,0,0,false,false
COB,0,0,0,0,0,false,false
SAA,0,0,0,0,0,false,false
AF7,0,0,0,0,0,false,false
VIV,0,0,0,0,0,false,false
CQN,0,0,0,0,0,false,false
KLM,0,0,0,0,0,false,false
CGZ,0,0,0,0,0,false,false
HDA,0,0,0,0,0,false,false
86Z,0,0,0,0,0,false,false
J7B,0,0,0,0,0,false,false
ARB,0,0,0,0,0,false,false
FBU,0,0,0,0,0,false,false
6H,0,0,0,0,0,false,false
SAF,0,0,0,0,0,false,false
AUL,0,0,0,0,0,false,false
43S,0,0,0,0,0,false,false
AAW,0,0,0,0,0,false,false
RZO,0,0,0,0,0,false,false
LLM,0,0,0,0,0,false,false
CTV,0,0,0,0,0,false,false
